"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-01","2015","01","01","","3.4","","-3.6","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-02","2015","01","02","","3.3","","-1.8","","0.8","","17.2","","0.0","","4.8","","0.0","","4.8","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-03","2015","01","03","","4.6","","-0.1","","2.3","","15.7","","0.0","","2.6","","0.0","","2.6","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-04","2015","01","04","","8.5","","3.9","","6.2","","11.8","","0.0","","21.4","","0.0","","21.4","","","","13","","41",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-05","2015","01","05","","10.0","","5.3","","7.7","","10.3","","0.0","","24.6","","0.0","","24.6","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-06","2015","01","06","","10.1","","5.8","","8.0","","10.0","","0.0","","0.0","","0.0","","0.0","","","","16","","33",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-07","2015","01","07","","7.2","","2.5","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-08","2015","01","08","","7.9","","3.1","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-09","2015","01","09","","7.8","","2.5","","5.2","","12.8","","0.0","","0.6","","0.0","","0.6","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-10","2015","01","10","","7.0","","5.6","","6.3","","11.7","","0.0","","3.8","","0.0","","3.8","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-11","2015","01","11","","7.2","","5.6","","6.4","","11.6","","0.0","","0.0","T","0.0","","0.0","T","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-12","2015","01","12","","7.9","","3.5","","5.7","","12.3","","0.0","","0.0","T","0.0","","0.0","T","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-13","2015","01","13","","6.8","","1.7","","4.3","","13.7","","0.0","","","M","0.0","","","M","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-14","2015","01","14","","6.4","","0.4","","3.4","","14.6","","0.0","","","M","","M","","M","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-15","2015","01","15","","8.4","","0.1","","4.3","","13.7","","0.0","","3.0","","0.0","","3.0","","","","16","","56",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-16","2015","01","16","","12.7","","4.3","","8.5","","9.5","","0.0","","0.2","","0.0","","0.2","","","","13","","52",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-17","2015","01","17","","6.8","","2.1","","4.5","","13.5","","0.0","","13.6","","0.0","","13.6","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-18","2015","01","18","","11.6","","5.0","","8.3","","9.7","","0.0","","22.0","","0.0","","22.0","","","","21","","78",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-19","2015","01","19","","11.0","","1.4","","6.2","","11.8","","0.0","","1.0","","0.0","","1.0","","","","21","","32",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-20","2015","01","20","","7.8","","1.1","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-21","2015","01","21","","6.6","","-0.5","","3.1","","14.9","","0.0","","0.4","","0.0","","0.4","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-22","2015","01","22","","7.3","","4.4","","5.9","","12.1","","0.0","","9.0","","0.0","","9.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-23","2015","01","23","","12.1","","6.7","","9.4","","8.6","","0.0","","9.4","","0.0","","9.4","","","","15","","39",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-24","2015","01","24","","15.1","","9.2","","12.2","","5.8","","0.0","","2.2","","0.0","","2.2","","","","13","","39",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-25","2015","01","25","","12.1","","6.6","","9.4","","8.6","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-26","2015","01","26","","8.1","","3.2","","5.7","","12.3","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-27","2015","01","27","","13.5","","4.1","","8.8","","9.2","","0.0","","0.0","","0.0","","0.0","","","","17","","32",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-28","2015","01","28","","10.5","","3.0","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-29","2015","01","29","","10.2","","1.9","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-30","2015","01","30","","9.7","","0.2","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-01-31","2015","01","31","","8.0","","0.7","","4.4","","13.6","","0.0","","1.6","","0.0","","1.6","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-02-01","2015","02","01","","8.8","","5.1","","7.0","","11.0","","0.0","","2.4","","0.0","","2.4","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2015-02-02","2015","02","02","","8.7","","4.5","","6.6","","11.4","","0.0","","2.1","","0.0","","2.1","","","","","","<31",""
